,Birthrate,Deathrate,marriagerate,Divorcerate,Moveout,Hire_all,Hire_man,Hire_women,Hire_1519,Hire_2029,Hire_3039,Wagegap,Gni,Income_roi,Gini,Lease_changerate,Suiciderate
1990,15.2,5.6,9.3,1.1,3231128,58.6,71.8,46.2,13.2,62.1,74.4,4.62,460.5,9.1,3.72,36.8,7.6
1991,16.4,5.6,9.6,1.1,2957842,59.1,73,46.2,13.4,62.5,74.8,4.65,550.8,12.6,3.58,37.5,7.3
1992,16.7,5.4,9.6,1.2,2859760,59.4,73.6,46.1,12.9,62.1,74,4.65,623.4,6.3,3.52,40.3,8.3
1993,16,5.2,9,1.3,2863667,59.1,73.2,46,12.1,60.8,74.1,4.71,700,6.2,3.7,41.3,9.4
1994,16,5.4,8.7,1.4,2739689,60.1,74.2,46.9,11.9,62,74.6,4.55,817.2,8.2,3.61,43.2,9.5
1995,15.7,5.3,8.7,1.5,2864939,60.6,74.6,47.6,11,63.5,74.6,4.58,947,8.5,3.68,44.7,10.8
1996,15,5.2,9.4,1.7,2836089,60.8,74.4,48.1,10.3,63.9,75.2,4.66,1052.4,7.7,3.79,47.7,12.9
1997,14.4,5.2,8.4,2,2838442,60.9,73.9,48.6,9.7,63.9,75.4,4.63,1147,2.6,3.8,48.1,13.1
1998,13.6,5.2,8,2.5,2678629,56.4,69.2,44.4,8.3,57.4,70.9,4.69,1117.5,-4,4.55,39.2,18.4
1999,13,5.2,7.6,2.5,3024784,56.7,69.1,45.2,9,57.5,71.1,4.73,1223.1,2.7,4.62,45.8,15
2000,13.3,5.2,7,2.5,2845831,58.5,70.7,47,10.3,60.1,72.5,4.89,1341.5,3.1,4.05,50.9,13.6
2001,11.6,5,6.7,2.8,2932017,59,71,47.7,10.1,60.2,72.7,4.9,1443.2,1.4,4.29,59.2,14.4
2002,10.2,5.1,6.3,3,2994815,60,72.2,48.4,9.4,61.3,73,4.93,1593.5,3.9,4.34,65.2,17.9
2003,10.2,5.1,6.3,3.4,3007781,59.3,71.9,47.4,8.6,60.2,72.6,5.01,1687.8,2.7,4.22,65,22.6
2004,9.8,5,6.4,2.9,2793739,59.8,72,48.3,8.4,61.1,72.6,5.03,1819.8,3.2,4.41,61.2,23.7
2005,8.9,5,6.5,2.6,2815279,59.7,71.6,48.4,8,61.2,72.3,5.15,1895.8,1.9,4.55,63.1,24.7
2006,9.2,5,6.8,2.5,2946669,59.7,71.3,48.8,6.7,60.2,73.2,5.13,1989.7,1.9,4.62,67.3,21.8
2007,10,5,7,2.5,2922003,59.8,71.3,48.9,6.6,60,72.9,4.99,2140.2,1.9,4.84,69.9,24.8
2008,9.4,5,6.6,2.4,2792151,59.5,70.9,48.7,5.9,59.1,72.9,4.93,2256.3,0.9,4.88,72.1,26
2009,9,5,6.2,2.5,2728972,58.6,70.1,47.7,5.4,58.2,71.3,4.72,2336.2,0.5,4.97,74.4,31
2010,9.4,5.1,6.5,2.3,2662293,58.7,70.1,47.8,6.1,58.2,72,4.77,2563.4,2.5,4.82,79.4,31.2
2011,9.4,5.1,6.6,2.3,2604513,59.1,70.5,48.1,6.8,58.5,72.2,4.8,2692.9,1,4.82,88.7,31.7
2012,9.6,5.3,6.5,2.3,2512740,59.4,70.8,48.4,7,58.1,72.7,4.63,2782.9,1.2,4.67,90,28.1
2013,8.6,5.3,6.4,2.3,2423429,59.5,70.8,48.8,6.9,56.8,73.2,4.7,2866.7,3.2,4.56,94.2,28.5
2014,8.6,5.3,6,2.3,2507796,60.2,71.4,49.5,7.7,57.4,73.9,4.79,2968,2,4.42,97.4,27.3
